enrichment_id,account_id,domain,employee_count,funding_stage,funding_amount_usd,tech_stack,open_ml_roles,open_data_infra_roles,company_summary,personalization_hook,enrichment_source,enriched_at
ENR-00129,ACC-00129,lumenpay.com,500,Seed,150000000,"databricks,go,kubernetes,python,pytorch",3,1,Lumen Pay is a Seed Developer Tools company with roughly 500 employees.,your developer tools roadmap and recent Seed momentum,clay_csv,2026-09-02 23:00:00
ENR-00130,ACC-00130,cindersystems.com,120,Series A,25000000,"aws,databricks,spark",0,4,Cinder Systems is a Series A Developer Tools company with roughly 120 employees.,your developer tools roadmap and recent Series A momentum,clay_csv,2026-09-15 23:00:00
ENR-00131,ACC-00131,cinderlabsgroup.co,2600,Series C,0,"aws,databricks",1,2,Cinder Labs Group is a Series C Logistics company with roughly 2600 employees.,your logistics roadmap and recent Series C momentum,clay_csv,2026-09-11 23:00:00
ENR-00132,ACC-00132,vectorlogic.com,2600,Public,2000000,"gcp,huggingface,postgres,spark",2,0,Vector Logic is a Public SaaS company with roughly 2600 employees.,your saas roadmap and recent Public momentum,clay_csv,2026-09-05 23:00:00
ENR-00133,ACC-00133,cobaltlabs.com,4000,Series A,8000000,"databricks,go,postgres,snowflake",1,0,Cobalt Labs is a Series A Developer Tools company with roughly 4000 employees.,your developer tools roadmap and recent Series A momentum,clay_csv,2026-09-09 23:00:00
ENR-00134,ACC-00134,pixelai.ai,320,Seed,0,"gcp,go,postgres,snowflake",5,4,Pixel AI is a Seed SaaS company with roughly 320 employees.,your saas roadmap and recent Seed momentum,clay_csv,2026-09-09 23:00:00
ENR-00135,ACC-00135,summitnetworks.io,25,Series B,2000000,"databricks,gcp,go,kubernetes,snowflake",2,1,Summit Networks is a Series B AI/ML company with roughly 25 employees.,your ai/ml roadmap and recent Series B momentum,clay_csv,2026-09-07 23:00:00
ENR-00136,ACC-00136,novacloud.co,40,Series A,25000000,"python,react,spark",3,0,Nova Cloud is a Series A Media company with roughly 40 employees.,your media roadmap and recent Series A momentum,clay_csv,2026-09-05 23:00:00
ENR-00137,ACC-00137,emberdata.com,500,Series D,150000000,"databricks,huggingface,postgres,pytorch",0,2,Ember Data is a Series D Media company with roughly 500 employees.,your media roadmap and recent Series D momentum,clay_csv,2026-09-15 23:00:00
ENR-00138,ACC-00138,signallabs.co,1500,Series A,60000000,"databricks,huggingface,spark",0,1,Signal Labs is a Series A Media company with roughly 1500 employees.,your media roadmap and recent Series A momentum,clay_csv,2026-09-17 23:00:00
ENR-00139,ACC-00139,emberdataco.co,25,Series A,25000000,"databricks,huggingface,python,react,spark",3,2,Ember Data Co is a Series A E-commerce company with roughly 25 employees.,your e-commerce roadmap and recent Series A momentum,clay_csv,2026-09-08 23:00:00
ENR-00140,ACC-00140,nimbusnetworks.co,1500,Series D,60000000,"gcp,pytorch",3,4,Nimbus Networks is a Series D SaaS company with roughly 1500 employees.,your saas roadmap and recent Series D momentum,clay_csv,2026-09-08 23:00:00
ENR-00141,ACC-00141,ridgeroboticstech.ai,60,Series B,25000000,"databricks,go,python,pytorch,snowflake",3,0,Ridge Robotics Tech is a Series B Healthcare company with roughly 60 employees.,your healthcare roadmap and recent Series B momentum,clay_csv,2026-09-11 23:00:00
ENR-00142,ACC-00142,cindercloud.ai,4000,Series C,25000000,"databricks,postgres,snowflake",5,4,Cinder Cloud is a Series C Fintech company with roughly 4000 employees.,your fintech roadmap and recent Series C momentum,clay_csv,2026-09-05 23:00:00
ENR-00143,ACC-00143,deltapay.com,4000,Seed,0,"kubernetes,postgres,python,pytorch",3,4,Delta Pay is a Seed Fintech company with roughly 4000 employees.,your fintech roadmap and recent Seed momentum,clay_csv,2026-09-06 23:00:00
ENR-00144,ACC-00144,cobaltsystemsco.io,200,Series B,150000000,"huggingface,kubernetes,snowflake",0,0,Cobalt Systems Co is a Series B Healthcare company with roughly 200 employees.,your healthcare roadmap and recent Series B momentum,clay_csv,2026-09-05 23:00:00
ENR-00145,ACC-00145,atlaspay.ai,200,Series C,2000000,"huggingface,postgres,pytorch,snowflake,spark",3,2,Atlas Pay is a Series C Healthcare company with roughly 200 employees.,your healthcare roadmap and recent Series C momentum,clay_csv,2026-09-10 23:00:00
ENR-00147,ACC-00147,emberanalyticsgroup.co,200,Seed,60000000,"aws,spark",0,1,Ember Analytics Group is a Seed E-commerce company with roughly 200 employees.,your e-commerce roadmap and recent Seed momentum,clay_csv,2026-09-12 23:00:00
ENR-00148,ACC-00148,nimbuslogicgroup.io,2600,Series C,2000000,"aws,databricks,gcp,postgres,react",3,0,Nimbus Logic Group is a Series C Fintech company with roughly 2600 employees.,your fintech roadmap and recent Series C momentum,clay_csv,2026-08-30 23:00:00
ENR-00149,ACC-00149,cinderhealth.com,12,Series A,60000000,"databricks,go,postgres",2,0,Cinder Health is a Series A AI/ML company with roughly 12 employees.,your ai/ml roadmap and recent Series A momentum,clay_csv,2026-09-07 23:00:00
ENR-00151,ACC-00151,cobaltlogic.io,2600,Seed,25000000,"aws,react",1,0,Cobalt Logic is a Seed E-commerce company with roughly 2600 employees.,your e-commerce roadmap and recent Seed momentum,clay_csv,2026-09-08 23:00:00
ENR-00152,ACC-00152,cobaltdatainc.ai,500,Public,2000000,"databricks,huggingface,react,snowflake,spark",2,0,Cobalt Data Inc is a Public SaaS company with roughly 500 employees.,your saas roadmap and recent Public momentum,clay_csv,2026-09-01 23:00:00
ENR-00153,ACC-00153,novaanalytics.ai,120,Series A,25000000,"go,kubernetes,spark",1,2,Nova Analytics is a Series A AI/ML company with roughly 120 employees.,your ai/ml roadmap and recent Series A momentum,clay_csv,2026-09-01 23:00:00
ENR-00154,ACC-00154,quantanetworks.io,1500,Public,0,"aws,kubernetes,pytorch",0,1,Quanta Networks is a Public Fintech company with roughly 1500 employees.,your fintech roadmap and recent Public momentum,clay_csv,2026-09-08 23:00:00
ENR-00155,ACC-00155,keplersystemsco.com,800,Series A,8000000,"databricks,go,spark",3,2,Kepler Systems Co is a Series A E-commerce company with roughly 800 employees.,your e-commerce roadmap and recent Series A momentum,clay_csv,2026-09-14 23:00:00
ENR-00156,ACC-00156,pixelsystemsinc.ai,40,Public,25000000,"aws,kubernetes,postgres",3,0,Pixel Systems Inc is a Public E-commerce company with roughly 40 employees.,your e-commerce roadmap and recent Public momentum,clay_csv,2026-09-14 23:00:00
ENR-00157,ACC-00157,signallabsinc.io,8000,Series C,0,"aws,gcp,postgres,python",2,4,Signal Labs Inc is a Series C AI/ML company with roughly 8000 employees.,your ai/ml roadmap and recent Series C momentum,clay_csv,2026-09-07 23:00:00
ENR-00158,ACC-00158,nimbussystems.ai,4000,Series B,8000000,"aws,databricks,postgres,pytorch,spark",3,2,Nimbus Systems is a Series B AI/ML company with roughly 4000 employees.,your ai/ml roadmap and recent Series B momentum,clay_csv,2026-09-01 23:00:00
ENR-00160,ACC-00160,deltapayinc.com,320,Series B,2000000,"aws,kubernetes,react",1,0,Delta Pay Inc is a Series B Logistics company with roughly 320 employees.,your logistics roadmap and recent Series B momentum,clay_csv,2026-09-05 23:00:00
ENR-00161,ACC-00161,emberlabsinc.ai,25,Seed,25000000,"go,pytorch",2,4,Ember Labs Inc is a Seed Fintech company with roughly 25 employees.,your fintech roadmap and recent Seed momentum,clay_csv,2026-09-11 23:00:00
ENR-00162,ACC-00162,summitworksgroup.co,800,Series A,150000000,"huggingface,postgres",1,4,Summit Works Group is a Series A Logistics company with roughly 800 employees.,your logistics roadmap and recent Series A momentum,clay_csv,2026-09-02 23:00:00
ENR-00163,ACC-00163,cobaltlabsinc.io,60,Series A,60000000,"kubernetes,postgres,python",2,0,Cobalt Labs Inc is a Series A Developer Tools company with roughly 60 employees.,your developer tools roadmap and recent Series A momentum,clay_csv,2026-09-11 23:00:00
ENR-00164,ACC-00164,cobaltroboticsinc.ai,2600,Series A,150000000,"gcp,huggingface",0,2,Cobalt Robotics Inc is a Series A Developer Tools company with roughly 2600 employees.,your developer tools roadmap and recent Series A momentum,clay_csv,2026-09-01 23:00:00
ENR-00165,ACC-00165,quantalabs.com,25,Series C,60000000,"aws,gcp,go,huggingface,react",5,4,Quanta Labs is a Series C AI/ML company with roughly 25 employees.,your ai/ml roadmap and recent Series C momentum,clay_csv,2026-09-18 23:00:00
ENR-00166,ACC-00166,meridianai.ai,320,Series A,25000000,"kubernetes,snowflake,spark",3,1,Meridian AI is a Series A Fintech company with roughly 320 employees.,your fintech roadmap and recent Series A momentum,clay_csv,2026-09-01 23:00:00
ENR-00167,ACC-00167,vectordatagroup.ai,800,Series A,0,"aws,gcp,go,kubernetes,python",3,0,Vector Data Group is a Series A AI/ML company with roughly 800 employees.,your ai/ml roadmap and recent Series A momentum,clay_csv,2026-09-15 23:00:00
ENR-00168,ACC-00168,keplerlabsgroup.ai,120,Series B,8000000,"go,kubernetes,spark",0,2,Kepler Labs Group is a Series B AI/ML company with roughly 120 employees.,your ai/ml roadmap and recent Series B momentum,clay_csv,2026-08-30 23:00:00
ENR-00169,ACC-00169,ridgelogicinc.ai,120,Series C,60000000,"databricks,react",2,0,Ridge Logic Inc is a Series C AI/ML company with roughly 120 employees.,your ai/ml roadmap and recent Series C momentum,clay_csv,2026-09-11 23:00:00
ENR-00170,ACC-00170,forgeai.io,1500,Series B,8000000,"go,postgres,python,pytorch",1,2,Forge AI is a Series B E-commerce company with roughly 1500 employees.,your e-commerce roadmap and recent Series B momentum,clay_csv,2026-08-30 23:00:00
ENR-00171,ACC-00171,cinderai.com,60,Series A,150000000,"databricks,gcp,huggingface,kubernetes,postgres",1,0,Cinder AI is a Series A Healthcare company with roughly 60 employees.,your healthcare roadmap and recent Series A momentum,clay_csv,2026-09-09 23:00:00
ENR-00172,ACC-00172,signalanalytics.ai,8000,Public,25000000,"go,postgres,snowflake",1,4,Signal Analytics is a Public Healthcare company with roughly 8000 employees.,your healthcare roadmap and recent Public momentum,clay_csv,2026-09-18 23:00:00
ENR-00174,ACC-00174,novahealth.co,320,Series A,0,"huggingface,postgres,python",2,0,Nova Health is a Series A Fintech company with roughly 320 employees.,your fintech roadmap and recent Series A momentum,clay_csv,2026-09-06 23:00:00
ENR-00175,ACC-00175,forgehealth.com,2600,Series B,60000000,"aws,kubernetes,pytorch,snowflake",5,0,Forge Health is a Series B SaaS company with roughly 2600 employees.,your saas roadmap and recent Series B momentum,clay_csv,2026-09-11 23:00:00
ENR-00176,ACC-00176,vectorcloudtech.com,120,Public,0,"databricks,gcp,kubernetes,pytorch,spark",5,0,Vector Cloud Tech is a Public AI/ML company with roughly 120 employees.,your ai/ml roadmap and recent Public momentum,clay_csv,2026-09-16 23:00:00
ENR-00178,ACC-00178,meridianroboticsco.ai,4000,Seed,0,"databricks,huggingface,python,pytorch,snowflake",0,4,Meridian Robotics Co is a Seed AI/ML company with roughly 4000 employees.,your ai/ml roadmap and recent Seed momentum,clay_csv,2026-09-15 23:00:00
ENR-00179,ACC-00179,quantaanalytics.co,4000,Series B,0,"pytorch,snowflake",0,2,Quanta Analytics is a Series B Developer Tools company with roughly 4000 employees.,your developer tools roadmap and recent Series B momentum,clay_csv,2026-09-08 23:00:00
ENR-00180,ACC-00180,beaconai.ai,1500,Series B,150000000,"aws,huggingface,spark",0,2,Beacon AI is a Series B AI/ML company with roughly 1500 employees.,your ai/ml roadmap and recent Series B momentum,clay_csv,2026-09-17 23:00:00
ENR-00181,ACC-00181,quantahealth.com,1500,Series A,60000000,"gcp,postgres,snowflake",0,4,Quanta Health is a Series A SaaS company with roughly 1500 employees.,your saas roadmap and recent Series A momentum,clay_csv,2026-08-30 23:00:00
ENR-00182,ACC-00182,deltaroboticsgroup.io,40,Seed,60000000,"aws,gcp,go,pytorch,spark",2,4,Delta Robotics Group is a Seed SaaS company with roughly 40 employees.,your saas roadmap and recent Seed momentum,clay_csv,2026-09-01 23:00:00
ENR-00183,ACC-00183,harborworks.io,200,Series A,2000000,"gcp,kubernetes,pytorch",1,2,Harbor Works is a Series A Media company with roughly 200 employees.,your media roadmap and recent Series A momentum,clay_csv,2026-09-12 23:00:00
ENR-00184,ACC-00184,keplerlabsco.ai,1500,Seed,2000000,"kubernetes,spark",3,4,Kepler Labs Co is a Seed AI/ML company with roughly 1500 employees.,your ai/ml roadmap and recent Seed momentum,clay_csv,2026-09-13 23:00:00
ENR-00185,ACC-00185,signalnetworkstech.co,8000,Series B,60000000,"gcp,kubernetes,postgres,python,spark",3,0,Signal Networks Tech is a Series B Healthcare company with roughly 8000 employees.,your healthcare roadmap and recent Series B momentum,clay_csv,2026-09-07 23:00:00
ENR-00186,ACC-00186,cindernetworks.ai,2600,Series A,0,"huggingface,snowflake",2,4,Cinder Networks is a Series A E-commerce company with roughly 2600 employees.,your e-commerce roadmap and recent Series A momentum,clay_csv,2026-09-15 23:00:00
ENR-00187,ACC-00187,atlaslogic.com,25,Series A,2000000,"postgres,python,pytorch",3,2,Atlas Logic is a Series A SaaS company with roughly 25 employees.,your saas roadmap and recent Series A momentum,clay_csv,2026-09-01 23:00:00
ENR-00188,ACC-00188,vectoranalyticsgroup.com,25,Series B,0,"databricks,react",1,0,Vector Analytics Group is a Series B Fintech company with roughly 25 employees.,your fintech roadmap and recent Series B momentum,clay_csv,2026-09-10 23:00:00
ENR-00189,ACC-00189,emberlogicinc.co,1500,Series B,8000000,"aws,go,pytorch,react,spark",3,2,Ember Logic Inc is a Series B Media company with roughly 1500 employees.,your media roadmap and recent Series B momentum,clay_csv,2026-09-11 23:00:00
ENR-00190,ACC-00190,zenithworks.io,500,Seed,0,"databricks,react,snowflake",0,4,Zenith Works is a Seed Logistics company with roughly 500 employees.,your logistics roadmap and recent Seed momentum,clay_csv,2026-09-01 23:00:00
ENR-00191,ACC-00191,harbornetworks.io,4000,Series B,2000000,"gcp,huggingface,python,pytorch,spark",5,0,Harbor Networks is a Series B AI/ML company with roughly 4000 employees.,your ai/ml roadmap and recent Series B momentum,clay_csv,2026-09-06 23:00:00
ENR-00192,ACC-00192,harborlogicco.ai,120,Series A,0,"aws,huggingface,pytorch,spark",3,4,Harbor Logic Co is a Series A SaaS company with roughly 120 employees.,your saas roadmap and recent Series A momentum,clay_csv,2026-09-19 23:00:00
ENR-00193,ACC-00193,vectornetworks.ai,25,Series B,0,"aws,kubernetes,react,snowflake,spark",5,0,Vector Networks is a Series B AI/ML company with roughly 25 employees.,your ai/ml roadmap and recent Series B momentum,clay_csv,2026-09-08 23:00:00
ENR-00194,ACC-00194,atlasrobotics.io,1500,Series B,150000000,"databricks,snowflake",1,0,Atlas Robotics is a Series B SaaS company with roughly 1500 employees.,your saas roadmap and recent Series B momentum,clay_csv,2026-09-11 23:00:00
ENR-00195,ACC-00195,cinderroboticstech.io,25,Series A,60000000,"huggingface,postgres",1,4,Cinder Robotics Tech is a Series A Fintech company with roughly 25 employees.,your fintech roadmap and recent Series A momentum,clay_csv,2026-09-03 23:00:00
ENR-00196,ACC-00196,cindernetworkstech.ai,120,Series A,0,"aws,go,kubernetes,pytorch",2,4,Cinder Networks Tech is a Series A AI/ML company with roughly 120 employees.,your ai/ml roadmap and recent Series A momentum,clay_csv,2026-09-12 23:00:00
ENR-00197,ACC-00197,zenithcloud.io,40,Seed,150000000,"gcp,python",0,0,Zenith Cloud is a Seed Logistics company with roughly 40 employees.,your logistics roadmap and recent Seed momentum,clay_csv,2026-09-04 23:00:00
ENR-00198,ACC-00198,meridianroboticsinc.ai,1500,Seed,150000000,"react,spark",0,0,Meridian Robotics Inc is a Seed E-commerce company with roughly 1500 employees.,your e-commerce roadmap and recent Seed momentum,clay_csv,2026-09-06 23:00:00
ENR-00199,ACC-00199,signalsystems.io,12,Series A,60000000,"go,kubernetes,pytorch,snowflake",0,2,Signal Systems is a Series A Healthcare company with roughly 12 employees.,your healthcare roadmap and recent Series A momentum,clay_csv,2026-09-16 23:00:00
ENR-00200,ACC-00200,emberlogicgroup.co,60,Series A,0,"databricks,pytorch",0,0,Ember Logic Group is a Series A SaaS company with roughly 60 employees.,your saas roadmap and recent Series A momentum,clay_csv,2026-09-05 23:00:00
